Timestamp,Source IP,Destination IP,Authorized,Traffic Value
2025-05-06 09:34:48,192.168.1.100,172.16.0.5,Yes,1198069
2025-05-06 09:34:48,192.168.1.100,172.16.0.5,Yes,629184
2025-05-06 09:34:48,192.168.1.100,10.10.10.1,Yes,417240
2025-05-06 09:34:48,192.168.1.100,204.152.189.116,Yes,579666
2025-05-06 09:34:48,192.168.1.101,1.1.1.1,Yes,868686
2025-05-06 09:34:48,192.168.1.101,1.1.1.1,Yes,1421858
2025-05-06 09:34:48,192.168.1.101,10.10.10.1,Yes,95459
2025-05-06 09:34:48,192.168.1.102,13.107.21.200,Yes,1437603
2025-05-06 09:34:48,192.168.1.102,1.1.1.1,No,1080577
2025-05-06 09:34:48,192.168.1.103,192.168.10.25,Yes,919240
2025-05-06 09:34:48,192.168.1.103,10.10.10.1,Yes,971608
2025-05-06 09:34:48,192.168.1.104,10.0.0.1,Yes,1473626
2025-05-06 09:34:48,192.168.1.104,8.8.8.8,No,1333023
2025-05-06 09:34:48,192.168.1.104,8.8.8.8,Yes,1047308
2025-05-06 09:34:48,192.168.1.104,13.107.21.200,No,1273079
2025-05-06 09:34:48,192.168.1.105,172.16.0.5,Yes,1454666
2025-05-06 09:34:48,192.168.1.105,10.0.0.1,Yes,1582129
2025-05-06 09:34:48,192.168.1.105,204.152.189.116,Yes,995367
2025-05-06 09:34:48,192.168.1.106,13.107.21.200,Yes,1101748
2025-05-06 09:34:48,192.168.1.106,10.0.0.1,Yes,829107
2025-05-06 09:34:48,192.168.1.106,172.16.0.5,Yes,1006423
2025-05-06 09:34:48,192.168.1.106,13.107.21.200,Yes,1477068
